Planula_Early_1_AR012_RSEM	Planula_Early_2_AR002_RSEM	Planula_Late_1_AR019_RSEM	Planula_Late_3_AR002_RSEM	Polyp_1_RSEM	Polyp_2_AR005_RSEM	Polyp_3_AR006_RSEM	Strobila_Early_1_AR019_RSEM	Strobila_Early_2_AR006_RSEM	Strobila_Early_3_AR005_RSEM	Strobila_Late_1_AR015_RSEM	Strobila_Late_2_AR005_RSEM	Strobila_Late_3_AR019_RSEM	Ephyra_1_AR019_RSEM	Ephyra_2_AR012_RSEM	Ephyra_3_AR018_RSEM	Juvenile_1_AR002_RSEM	Juvenile_2_AR013_RSEM
evm.model.Seg1600.9	0.000	0.710	0.000	0.000	0.119	0.000	0.000	0.000	0.100	0.642	1.795	0.771	2.217	0.000	0.000	0.457	0.000	0.000
evm.model.Seg1617.12.1.57f48f77	2.755	3.319	2.890	8.831	6.574	6.268	0.895	3.531	3.795	5.570	10.556	13.076	9.479	0.000	0.000	0.000	3.020	1.316
evm.model.Seg1628.7	15.049	13.818	18.356	13.820	48.897	54.820	26.335	34.571	33.865	31.030	14.670	29.819	26.567	2.433	0.629	3.141	3.567	0.289
evm.model.Seg1628.8	11.774	17.124	12.089	13.404	31.116	59.292	16.261	36.854	39.146	33.141	13.407	22.272	20.918	7.017	0.913	5.022	4.245	2.170
evm.model.Seg16297.1	50.572	25.635	51.899	65.194	42.449	47.209	27.384	81.975	79.427	60.311	16.120	29.630	25.484	0.000	0.000	0.000	14.729	0.000
evm.model.Seg1635.6	2.755	1.433	3.224	2.370	7.942	9.363	1.355	4.203	4.498	3.329	1.305	1.624	1.679	0.302	0.507	0.950	0.208	0.058
evm.model.Seg1639.10	1.374	1.317	1.640	1.620	1.331	1.676	0.409	0.736	0.492	0.883	2.119	1.354	0.794	0.000	0.000	0.000	0.647	1.128
evm.model.Seg164.11.1.57f48f77	2.678	1.072	1.911	3.321	1.487	2.446	0.435	0.533	2.329	3.180	3.687	2.141	2.804	0.000	0.000	0.000	2.642	0.000
evm.model.Seg1641.15	1.948	0.284	1.501	1.520	3.436	0.633	2.685	0.640	0.492	0.716	3.051	10.738	6.369	0.815	0.000	0.694	0.062	1.707
evm.model.Seg1666.17.1.57f48f77	1.242	2.053	1.911	2.076	1.822	2.488	0.460	2.336	1.436	1.200	0.884	1.616	1.547	0.000	0.000	0.000	2.172	0.853
evm.model.Seg1670.16	0.287	0.116	0.299	0.154	0.022	0.000	0.000	0.523	0.532	0.418	0.021	0.025	0.033	0.000	0.000	0.091	0.000	0.000
evm.model.Seg1672.13.1.57f48f77	1.288	0.207	0.882	1.540	1.175	2.095	0.000	0.640	0.633	1.125	1.408	0.853	0.397	0.000	0.000	0.000	0.516	0.434
evm.model.Seg1677.3	0.000	2.428	0.000	1.386	0.684	1.035	0.000	1.675	1.024	1.125	0.656	0.656	1.596	0.000	0.000	0.000	0.000	0.000
evm.model.Seg168.1	3.073	10.616	6.343	8.992	5.600	2.249	0.000	2.784	3.233	2.771	2.741	4.380	2.175	0.000	0.000	2.246	0.000	0.000
evm.model.Seg1681.8	106.096	60.607	119.820	107.650	126.470	143.398	27.051	132.568	141.946	87.278	6.980	80.432	124.045	0.000	10.120	21.732	0.000	0.260
evm.model.Seg1682.7	96.557	29.922	60.584	41.010	37.950	58.625	186.470	28.918	23.233	16.589	9.824	26.094	31.026	0.370	2.494	3.287	0.123	0.391
evm.model.Seg1686.9	0.861	0.000	1.014	0.616	0.729	0.658	0.205	0.992	1.054	0.976	1.153	0.435	0.868	0.000	0.000	0.000	3.197	0.217
evm.model.Seg1689.11	2.445	2.583	3.856	4.553	1.770	2.198	0.000	0.704	0.552	1.014	3.051	2.740	2.382	2.268	0.629	0.000	2.442	0.607
evm.model.Seg1697.6.1.57f48f77	3.873	6.741	4.085	3.555	5.124	3.891	0.000	4.555	4.950	5.551	6.655	5.775	4.657	0.000	0.000	0.000	3.991	5.814
evm.model.Seg1700.4.1.57f48f77	1.164	7.942	1.619	2.906	2.566	3.070	2.966	1.035	2.932	2.725	3.700	4.134	3.085	0.000	0.000	0.000	2.558	0.000
evm.model.Seg1701.10	17.253	38.562	16.091	10.057	4.447	5.635	21.273	26.464	34.156	25.720	14.132	15.676	10.596	3.289	4.076	7.761	2.535	3.616
evm.model.Seg1707.7	37.005	16.931	34.919	26.126	24.950	25.345	40.526	34.006	30.221	27.347	8.022	13.412	15.823	1.432	0.446	3.287	1.749	1.519
evm.model.Seg17124.1	2.825	4.714	2.098	2.792	0.513	0.000	1.688	7.669	5.833	4.584	2.071	0.238	0.124	0.000	2.312	1.954	0.000	0.000
evm.model.Seg17.2	2.973	1.524	4.196	4.084	1.287	1.402	1.866	0.213	0.301	0.558	2.969	1.362	1.232	0.151	0.000	0.274	0.578	0.492
evm.model.Seg1721.4	21.312	25.093	8.553	6.260	2.819	3.668	1.943	3.275	2.831	3.403	7.580	8.736	8.809	5.975	10.546	19.668	9.553	8.186
evm.model.Seg1730.6.1.57f48f77	3.306	5.618	2.751	0.000	12.524	5.635	2.557	4.736	3.815	4.621	1.933	0.213	0.000	0.000	0.000	0.804	0.000	0.362
evm.model.Seg1731.6.6.57f48f77	0.373	0.504	0.181	0.221	0.089	0.111	0.000	0.107	0.131	0.372	0.752	0.410	0.455	0.062	0.000	0.274	0.000	0.000
evm.model.Seg1732.4.1.57f48f77	0.000	0.375	0.000	0.000	0.312	0.470	0.026	0.213	0.171	0.084	0.787	0.328	0.372	0.000	0.000	0.310	0.000	0.043
evm.model.Seg1737.8	86.475	91.136	40.686	28.295	25.084	35.230	116.540	69.879	59.969	59.316	16.334	22.780	21.572	16.200	15.879	19.705	12.657	30.706
evm.model.Seg1752.10	3.190	1.808	3.064	3.783	2.900	2.711	0.537	2.037	1.657	1.134	0.635	0.615	0.728	0.240	0.000	0.110	0.370	0.318
evm.model.Seg1768.6	5.014	8.433	2.598	2.370	1.792	3.968	0.588	0.277	0.612	0.353	1.560	2.748	5.451	0.000	2.069	1.096	0.000	0.000
evm.model.Seg1768.7	30.556	33.293	54.616	66.413	10.188	25.268	21.810	7.360	8.273	7.551	13.124	31.476	52.035	1.713	37.579	39.848	7.573	7.579
evm.model.Seg1784.8	4.152	3.384	4.398	5.517	2.796	2.728	0.230	0.448	0.432	0.381	1.843	2.781	3.730	0.000	2.150	3.762	0.000	0.000
evm.model.Seg1787.10.1.57f48f78	0.605	0.310	1.883	0.341	2.640	0.932	0.000	0.576	0.000	0.000	0.566	1.985	2.581	0.000	0.000	0.000	0.570	0.000
evm.model.Seg1798.8	52.287	3.784	55.442	76.516	89.569	71.126	35.591	60.854	76.023	66.569	22.561	33.461	30.811	11.368	0.487	5.059	9.730	1.692
evm.model.Seg1800.3	0.536	1.524	3.453	3.160	0.446	0.086	1.611	3.349	2.962	2.176	0.297	2.363	3.309	0.000	0.000	0.000	0.062	0.130
evm.model.Seg180.1	0.846	1.640	0.910	1.908	1.577	1.325	2.378	1.515	1.466	0.921	0.290	0.295	0.438	0.000	0.000	0.000	0.254	0.000
evm.model.Seg1815.6	24.168	67.012	39.178	108.588	107.276	76.145	184.373	38.006	25.692	10.117	17.224	34.117	26.658	1.754	1.460	2.831	0.663	6.697
evm.model.Seg1817.1	75.517	70.577	63.259	47.813	101.557	121.687	381.505	58.305	56.415	53.830	9.679	26.956	24.946	0.000	0.000	2.831	0.000	0.000
evm.model.Seg1817.4	1.211	12.165	1.487	1.801	1.324	0.770	1.304	2.709	2.661	2.167	3.196	2.321	2.167	0.000	4.015	1.479	0.000	0.000
evm.model.Seg1836.3	14.661	139.978	7.205	4.078	2.774	0.137	0.690	2.869	4.257	3.487	14.325	14.831	13.350	0.000	65.403	76.080	0.508	1.287
evm.model.Seg1841.5	120.609	133.999	26.123	37.542	59.189	57.325	40.654	40.673	42.369	28.538	11.101	12.288	12.986	1.281	0.933	2.666	0.878	0.752
evm.model.Seg1853.10	85.482	64.998	43.958	110.991	49.194	124.415	1049.887	146.531	66.415	28.231	26.503	61.261	43.011	0.000	3.833	16.673	1.202	1.548
evm.model.Seg1871.3.2.57f48f78	1.327	0.000	1.188	0.978	0.513	0.000	0.000	0.000	0.532	0.000	3.093	2.043	1.696	0.000	0.000	0.000	0.963	0.000
evm.model.Seg1871.5	1.265	0.000	1.091	1.031	0.364	0.034	0.000	0.320	0.542	0.325	4.273	3.970	2.779	0.000	0.000	1.023	0.000	0.000
evm.model.Seg1908.5	15508.267	12218.538	9130.059	2251.471	4672.791	5878.869	13344.519	825.305	865.914	410.185	238.484	1063.229	591.126	13.027	53.296	194.657	17.657	80.837
evm.model.Seg1928.7	9.213	2.402	12.631	9.334	8.523	7.858	19.585	17.760	17.028	15.334	2.775	1.879	5.261	0.219	0.000	0.000	0.154	0.072
evm.model.Seg1935.9	109.612	58.334	117.457	73.959	201.537	31.373	15.852	47.553	85.832	73.330	45.791	44.765	31.001	0.000	14.379	0.000	0.000	2.314
evm.model.Seg1940.1	0.334	0.284	0.347	0.241	0.097	0.231	0.102	0.011	0.020	0.028	0.179	0.459	0.736	0.000	0.000	0.000	0.000	0.029
evm.model.Seg1949.8	0.132	1.485	0.250	0.937	2.142	0.428	0.179	0.075	0.201	0.195	1.015	1.436	2.068	0.439	0.872	0.000	0.162	0.116
evm.model.Seg1958.4	29.392	45.006	33.161	14.670	15.223	14.408	23.958	14.144	13.564	12.256	8.629	17.341	18.892	0.384	2.109	3.086	0.262	1.229
evm.model.Seg1969.4	70.798	39.931	100.679	17.194	15.513	16.580	0.000	14.795	24.016	14.924	21.477	2.830	0.000	0.000	0.000	0.000	0.000	0.000
evm.model.Seg1973.1	375.417	58.747	812.329	1610.383	482.864	171.889	646.188	157.059	41.998	26.659	31.025	67.832	55.186	0.000	0.000	21.458	0.000	0.000
